# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_2w_LPS_noRC_2_S6
#
# total peaks = 29896
# peak size = 79
# peaks found using tags on both strands
# minimum distance between peaks = 158
# fragment length = 300
# genome size = 2000000000
# Total tags = 11243027.0
# Total tags in peaks = 651417.0
# Approximate IP efficiency = 5.79%
# tags per bp = 0.004808
# expected tags per peak = 0.380
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 1.623950e-07
# FDR tag threshold = 7.0
# number of putative peaks = 102280
#
# input tag directory = Anat_WT_2w_LPS_noRC_2_S6
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 68751
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 3617
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 16
#
# cmd = findPeaks Anat_WT_2w_LPS_noRC_2_S6 -o Anat_WT_2w_LPS_noRC_2_S6.peaks.txt -style factor -fragLength 300 -i Anat_WT_2w_LPS_noRC_2_S6
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr13-1	chr13	9011002	9011080	+	307.3	0.898	103.000000	345.5	0.5	691.00	0.00e+00	97.61	0.00e+00	0.80
chr8-1	chr8	20020313	20020391	+	292.6	0.747	115.000000	329.0	67.0	4.91	7.03e-116	41.93	0.00e+00	0.70
chr19-28	chr19	61275640	61275718	+	196.6	0.814	65.500000	221.5	3.5	63.29	1.05e-305	46.01	1.21e-274	1.16
chr1-9	chr1	197067879	197067957	+	176.1	0.771	82.500000	198.0	8.5	23.29	1.14e-190	14.91	2.23e-154	0.90
chrX-9	chrX	139917567	139917645	+	175.2	0.990	60.000000	197.0	0.5	394.00	0.00e+00	122.78	0.00e+00	1.21
chrX-4	chrX	139917567	139917645	+	174.3	0.990	67.000000	196.0	0.5	392.00	0.00e+00	121.55	0.00e+00	1.10
chr6-2	chr6	103599133	103599211	+	172.6	0.899	101.500000	194.5	0.5	389.00	0.00e+00	34.19	4.71e-218	0.79
chr2-299	chr2	5300335	5300413	+	171.7	0.976	48.000000	193.0	38.5	5.01	3.42e-70	125.91	0.00e+00	1.55
chr16-4	chr16	57121616	57121694	+	168.5	0.633	82.000000	192.5	37.5	5.13	2.96e-71	44.11	1.22e-232	0.90
chr13-4	chr13	8884989	8885067	+	168.1	0.653	79.500000	189.0	44.5	4.25	4.19e-58	43.81	7.15e-230	0.93
chr13-41	chr13	9011002	9011080	+	162.8	0.893	66.000000	183.0	0.5	366.00	0.00e+00	37.77	1.74e-213	1.29
chr8-20	chr8	116159442	116159520	+	158.8	0.573	75.500000	179.0	44.0	4.07	1.39e-52	19.18	1.51e-155	0.97
chr10-4	chr10	57960700	57960778	+	154.3	0.666	83.000000	177.0	36.0	4.92	2.42e-63	63.90	4.83e-239	0.86
chr12-17	chr12	32184624	32184702	+	148.5	0.603	76.000000	167.5	30.0	5.58	3.62e-67	32.00	6.10e-181	0.93
chr16-11	chr16	44139308	44139386	+	146.3	0.657	77.000000	164.5	23.0	7.15	7.64e-81	22.44	1.38e-154	0.91
chr8-21	chr8	119517393	119517471	+	139.2	0.672	75.500000	157.0	34.0	4.62	5.15e-53	32.99	4.47e-170	0.92
chr3-74	chr3	19935121	19935199	+	137.9	0.654	63.500000	159.5	25.5	6.25	1.48e-70	52.26	1.70e-202	1.09
chr17-25	chr17	3557686	3557764	+	136.5	0.571	79.500000	154.0	18.5	8.32	4.73e-85	27.54	3.06e-157	0.86
chr5-29	chr5	21207392	21207470	+	136.1	0.597	69.500000	154.5	34.5	4.48	2.89e-50	29.40	2.31e-156	1.01
chr18-406	chr18	13107775	13107853	+	135.6	0.960	36.000000	152.5	24.5	6.22	2.96e-67	95.52	1.20e-237	1.96
chr15-17	chr15	94373867	94373945	+	135.2	0.572	70.500000	155.0	25.0	6.20	1.66e-68	30.00	2.10e-157	0.98
chr16-14	chr16	55934833	55934911	+	134.3	0.626	75.000000	154.0	18.0	8.56	1.14e-86	35.76	3.82e-167	0.91
chr13-34	chr13	93124804	93124882	+	133.9	0.567	67.500000	156.0	31.0	5.03	2.58e-57	22.78	1.63e-140	1.05
chr5-16	chr5	150439094	150439172	+	131.6	0.570	73.000000	151.0	20.0	7.55	7.85e-78	27.19	1.74e-147	0.92
chr1-39	chr1	167167063	167167141	+	131.2	0.696	71.000000	152.0	35.5	4.28	1.64e-47	38.38	6.97e-173	0.96
chr13-36	chr13	30751987	30752065	+	131.2	0.590	67.000000	147.5	33.5	4.40	3.21e-47	30.37	2.95e-156	1.05
chr6-14	chr6	149258119	149258197	+	130.3	0.682	74.500000	147.0	31.0	4.74	4.28e-51	40.64	1.12e-172	0.92
chr6-12	chr6	56873991	56874069	+	128.5	0.628	74.500000	144.5	24.0	6.02	4.59e-62	37.58	8.28e-166	0.91
chr8-42	chr8	94879931	94880009	+	128.5	0.578	70.000000	144.5	32.0	4.52	1.61e-47	27.35	1.19e-148	0.95
chr4-37	chr4	139178732	139178810	+	128.1	0.659	68.000000	144.0	28.5	5.05	2.96e-53	46.77	2.74e-171	0.99
chr1-10	chr1	163806985	163807063	+	127.6	0.625	82.000000	144.0	10.5	13.71	6.02e-108	14.69	5.44e-111	0.82
chr10-32	chr10	118677371	118677449	+	127.2	0.544	70.000000	143.5	15.0	9.57	1.34e-86	19.62	2.47e-126	0.99
chr18-10	chr18	32227459	32227537	+	126.7	0.605	74.000000	143.0	35.0	4.09	1.37e-42	45.10	2.43e-175	0.90
chr3-60	chr3	95428973	95429051	+	126.3	0.566	66.500000	142.0	27.0	5.26	1.54e-54	27.86	6.76e-147	1.01
chr10-18	chr10	74674839	74674917	+	125.9	0.664	73.000000	149.0	26.5	5.62	1.14e-60	41.26	3.04e-165	0.91
chr2-81	chr2	144381812	144381890	+	125.4	0.628	61.500000	141.5	25.0	5.66	1.14e-57	43.72	1.08e-173	1.08
chr7-58	chr7	71537331	71537409	+	125.4	0.569	69.000000	143.5	31.0	4.63	2.09e-48	25.92	1.19e-139	0.98
chr8-43	chr8	47772337	47772415	+	125.4	0.660	69.500000	141.0	13.0	10.85	1.53e-92	63.70	1.04e-194	0.95
chr9-37	chr9	121766882	121766960	+	125.4	0.581	70.000000	141.0	24.5	5.76	1.09e-58	30.90	5.07e-153	0.94
chr13-2	chr13	14155611	14155689	+	125.0	0.577	81.500000	142.0	33.5	4.24	4.93e-44	15.95	2.28e-110	0.83
chr8-47	chr8	13785721	13785799	+	124.1	0.578	69.000000	139.5	24.0	5.81	3.35e-58	32.36	1.45e-153	0.96
chr18-21	chr18	47118525	47118603	+	124.1	0.668	67.500000	140.0	20.5	6.83	4.80e-67	45.58	3.08e-171	0.99
chr3-77	chr3	98945160	98945238	+	123.6	0.607	63.500000	139.0	25.5	5.45	3.46e-55	40.45	1.11e-166	1.03
chr8-51	chr8	116159045	116159123	+	123.6	0.510	69.000000	139.0	28.5	4.88	9.16e-50	14.60	8.30e-107	1.00
chr6-37	chr6	124779252	124779330	+	122.3	0.514	68.500000	137.5	33.0	4.17	1.33e-41	14.64	2.04e-106	0.96
chr11-18	chr11	6191715	6191793	+	122.3	0.610	72.500000	138.5	34.0	4.07	7.24e-41	31.57	1.13e-148	0.92
chr13-14	chr13	35998036	35998114	+	121.9	0.642	75.000000	138.5	32.5	4.26	6.32e-43	41.25	2.97e-164	0.89
chr7-53	chr7	59117600	59117678	+	120.1	0.639	69.500000	136.0	25.0	5.44	6.12e-54	36.13	3.89e-154	0.94
chr11-32	chr11	32355155	32355233	+	120.1	0.611	67.500000	135.0	30.0	4.50	1.15e-44	33.29	1.02e-149	0.99
chr2-58	chr2	145760503	145760581	+	119.6	0.694	65.000000	136.0	20.0	6.80	5.74e-65	52.21	4.54e-175	1.03
chr3-96	chr3	129428072	129428150	+	119.2	0.688	61.500000	135.0	29.5	4.58	1.95e-45	55.24	5.70e-177	1.08
chr7-73	chr7	71537551	71537629	+	118.3	0.624	65.500000	133.0	28.5	4.67	1.12e-45	24.80	3.37e-132	1.01
chr9-43	chr9	21961241	21961319	+	118.3	0.684	68.000000	140.5	21.5	6.53	1.40e-64	30.20	6.82e-142	0.99
chr14-23	chr14	52639587	52639665	+	118.3	0.586	68.000000	134.0	28.5	4.70	2.37e-46	24.69	5.74e-131	0.96
chr15-78	chr15	41620263	41620341	+	118.3	0.701	58.500000	134.0	20.0	6.70	2.64e-63	49.52	1.65e-169	1.12
chr4-65	chr4	108874781	108874859	+	117.4	0.670	64.000000	132.5	20.0	6.62	1.18e-61	39.54	1.53e-154	1.02
chr14-27	chr14	119406746	119406824	+	117.4	0.724	66.500000	133.0	25.5	5.22	8.21e-51	28.53	5.89e-139	0.98
chr17-61	chr17	71351701	71351779	+	117.4	0.573	64.500000	132.5	27.0	4.91	1.84e-47	29.51	9.07e-140	1.01
chr18-14	chr18	60685929	60686007	+	117.4	0.608	70.500000	136.5	30.0	4.55	2.53e-45	28.21	4.46e-137	0.93
chr4-114	chr4	155043396	155043474	+	117.0	0.681	59.500000	132.0	27.0	4.89	1.84e-47	43.70	1.76e-161	1.09
chr12-45	chr12	82585863	82585941	+	117.0	0.716	69.500000	131.5	29.5	4.46	8.25e-43	61.96	5.67e-181	0.93
chr13-24	chr13	64471709	64471787	+	117.0	0.673	71.000000	131.5	23.0	5.72	3.57e-54	24.67	9.74e-130	0.90
chr17-42	chr17	13153414	13153492	+	116.5	0.629	67.500000	131.0	25.0	5.24	2.73e-50	40.92	1.22e-156	0.97
chr3-42	chr3	8923658	8923736	+	116.1	0.619	69.000000	132.0	16.0	8.25	1.01e-72	32.42	1.20e-143	0.97
chr9-53	chr9	13632120	13632198	+	116.1	0.557	66.500000	133.0	20.5	6.49	2.88e-61	11.69	4.01e-87	0.97
chr6-58	chr6	85324792	85324870	+	115.6	0.654	64.000000	130.5	25.0	5.22	1.43e-49	32.83	3.80e-142	1.02
chr16-44	chr16	42875822	42875900	+	115.6	0.573	64.500000	130.0	25.5	5.10	1.15e-48	9.07	4.55e-75	1.00
chr6-21	chr6	21899749	21899827	+	115.2	0.479	72.000000	129.5	24.0	5.40	1.04e-50	14.09	4.53e-96	0.92
chr7-124	chr7	99889977	99890055	+	115.2	0.652	60.500000	130.0	23.5	5.53	2.03e-52	24.90	2.39e-125	1.08
chr8-85	chr8	72149289	72149367	+	115.2	0.596	63.500000	129.5	27.0	4.80	2.11e-45	30.85	1.01e-137	1.03
chr9-56	chr9	31088181	31088259	+	115.2	0.478	66.000000	131.0	19.0	6.89	2.54e-63	17.73	2.43e-109	0.99
chr12-20	chr12	60167773	60167851	+	114.7	0.677	75.500000	130.5	29.5	4.42	3.67e-42	28.46	1.35e-132	0.85
chr15-86	chr15	3220727	3220805	+	114.7	0.656	57.500000	130.0	10.0	13.00	7.60e-95	37.43	2.60e-142	1.11
chr13-65	chr13	67182263	67182341	+	114.3	0.698	62.000000	130.5	26.5	4.92	6.32e-47	55.12	6.03e-169	1.04
chr17-34	chr17	57136735	57136813	+	114.3	0.678	71.500000	129.0	10.0	12.90	9.89e-94	42.03	2.68e-154	0.90
chr14-24	chr14	73924812	73924890	+	113.0	0.681	68.000000	128.5	23.0	5.59	6.48e-52	55.57	1.33e-169	0.95
chr6-38	chr6	11857638	11857716	+	112.5	0.673	68.000000	126.5	25.5	4.96	7.44e-46	45.14	1.15e-154	0.94
chr2-63	chr2	32631119	32631197	+	111.2	0.694	64.000000	126.0	19.5	6.46	5.93e-58	56.20	4.75e-162	0.99
chr8-63	chr8	19893021	19893099	+	111.2	0.692	66.500000	125.0	22.0	5.68	1.14e-51	35.90	2.69e-141	0.97
chr17-47	chr17	15701425	15701503	+	111.2	0.617	66.500000	126.0	22.0	5.73	1.99e-52	26.34	2.65e-126	0.97
chr4-81	chr4	147514312	147514390	+	110.7	0.604	62.000000	125.5	29.0	4.33	1.11e-39	35.34	1.45e-139	1.04
chr9-74	chr9	3012545	3012623	+	110.7	0.934	62.500000	125.0	9.0	13.89	1.35e-94	16.53	2.09e-102	1.03
chr10-49	chr10	29033149	29033227	+	110.7	0.676	65.500000	124.5	31.0	4.02	2.58e-36	46.72	5.11e-155	0.98
chr13-71	chr13	90229245	90229323	+	110.7	0.708	60.500000	124.5	29.0	4.29	4.78e-39	27.00	1.38e-127	1.05
chr3-67	chr3	30501578	30501656	+	110.3	0.573	64.500000	124.0	17.0	7.29	1.20e-62	17.68	3.36e-105	1.00
chr12-50	chr12	70284979	70285057	+	110.3	0.633	67.000000	127.0	18.0	7.06	1.55e-62	26.95	1.16e-125	0.97
chr5-50	chr5	114580899	114580977	+	109.4	0.613	65.500000	125.5	9.0	13.94	1.35e-94	33.48	1.44e-136	1.00
chr18-73	chr18	14841453	14841531	+	109.4	0.612	57.000000	123.0	29.5	4.17	1.02e-37	25.03	5.75e-118	1.11
chr1-72	chr1	166237608	166237686	+	109.0	0.644	64.500000	122.5	18.5	6.62	4.33e-57	32.13	1.44e-133	0.98
chr7-65	chr7	13420135	13420213	+	109.0	0.595	67.500000	125.5	21.0	5.98	9.15e-54	36.31	1.11e-138	0.94
chr2-71	chr2	114480593	114480671	+	108.5	0.581	62.500000	125.0	24.0	5.21	8.32e-48	37.86	9.58e-142	1.02
chr8-104	chr8	119445636	119445714	+	108.5	0.578	61.000000	125.5	26.5	4.74	1.68e-43	31.23	7.53e-131	1.04
chr13-37	chr13	58503712	58503790	+	108.5	0.531	67.000000	122.0	20.5	5.95	1.64e-52	16.05	9.69e-99	0.94
chr16-60	chr16	52031660	52031738	+	108.5	0.578	61.500000	124.0	30.5	4.07	5.63e-37	18.43	2.03e-106	1.05
chr17-76	chr17	47639135	47639213	+	108.5	0.666	61.000000	122.0	18.5	6.59	4.33e-57	30.27	2.44e-130	1.03
chr15-38	chr15	82176559	82176637	+	108.1	0.588	65.000000	121.5	28.0	4.34	1.41e-38	32.41	6.35e-133	0.97
chr10-20	chr10	84380042	84380120	+	107.6	0.601	72.500000	121.0	26.5	4.57	7.98e-41	27.54	1.64e-124	0.86
chr1-112	chr1	45852143	45852221	+	107.2	0.566	60.000000	121.0	14.0	8.64	5.57e-69	36.12	3.40e-138	1.04
chr3-32	chr3	30894553	30894631	+	107.2	0.631	70.500000	121.0	23.0	5.26	9.18e-47	31.50	2.54e-129	0.89
chr3-168	chr3	107136717	107136795	+	107.2	0.546	54.500000	126.5	18.5	6.84	2.10e-60	12.69	2.45e-86	1.17
chr7-122	chr7	87469232	87469310	+	107.2	0.672	60.500000	120.5	21.5	5.60	6.53e-49	52.20	1.18e-155	1.04
chr7-52	chr7	146574613	146574691	+	107.2	0.600	70.000000	122.0	27.5	4.44	5.90e-40	16.44	2.72e-98	0.94
chr3-176	chr3	19088085	19088163	+	106.7	0.645	53.500000	120.0	18.0	6.67	1.15e-56	29.64	3.35e-124	1.16
chr9-36	chr9	14589092	14589170	+	106.7	0.665	70.000000	120.0	26.5	4.53	3.65e-40	46.80	1.39e-151	0.88
chr14-28	chr14	19103498	19103576	+	106.7	0.587	65.000000	121.5	28.5	4.26	7.34e-38	21.47	3.78e-111	0.96
chr17-64	chr17	17431168	17431246	+	106.7	0.739	63.500000	120.0	25.5	4.71	9.72e-42	52.97	6.57e-158	0.98
chr7-78	chr7	107854890	107854968	+	106.3	0.590	65.000000	120.5	24.0	5.02	2.97e-44	32.98	1.68e-132	0.96
