# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_12h_LPS3
#
# total peaks = 35435
# peak size = 77
# peaks found using tags on both strands
# minimum distance between peaks = 154
# fragment length = 300
# genome size = 2000000000
# Total tags = 17922219.5
# Total tags in peaks = 971741.5
# Approximate IP efficiency = 5.42%
# tags per bp = 0.007926
# expected tags per peak = 0.610
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 2.779433e-07
# FDR tag threshold = 8.0
# number of putative peaks = 148809
#
# input tag directory = Anat_WT_12h_LPS3
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 106718
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 6642
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 14
#
# cmd = findPeaks Anat_WT_12h_LPS3 -o Anat_WT_12h_LPS3.peaks.txt -style factor -fragLength 300 -i Anat_WT_12h_LPS3
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr13-1	chr13	9011003	9011079	+	322.5	0.913	176.000000	578.0	1.5	385.33	0.00e+00	113.87	0.00e+00	0.44
chr8-1	chr8	20020319	20020395	+	254.4	0.720	197.500000	457.0	108.0	4.23	4.46e-137	34.45	0.00e+00	0.41
chr13-18	chr13	9011003	9011079	+	190.5	0.907	117.000000	341.5	13.0	26.27	0.00e+00	49.53	0.00e+00	0.67
chr6-2	chr6	103599157	103599233	+	179.7	0.930	171.000000	325.0	0.5	650.00	0.00e+00	39.63	0.00e+00	0.47
chr1-10	chr1	197067783	197067859	+	179.4	0.724	138.000000	321.5	16.0	20.09	5.81e-288	18.78	5.32e-279	0.55
chr19-4	chr19	61275640	61275716	+	158.5	0.777	122.500000	284.0	9.0	31.56	1.21e-308	43.32	0.00e+00	0.62
chrX-1	chrX	139917569	139917645	+	140.6	0.977	133.000000	252.0	0.5	504.00	0.00e+00	124.90	0.00e+00	0.56
chrX-5	chrX	139917569	139917645	+	139.5	0.977	103.000000	250.0	0.5	500.00	0.00e+00	122.97	0.00e+00	0.72
chr16-4	chr16	52031526	52031602	+	137.3	0.613	136.500000	248.5	55.5	4.48	7.50e-80	26.54	1.01e-243	0.56
chr18-262	chr18	13107771	13107847	+	135.9	0.923	72.000000	243.5	44.0	5.53	3.76e-96	92.70	0.00e+00	1.05
chr13-5	chr13	8884932	8885008	+	131.1	0.594	133.000000	235.0	53.5	4.39	2.06e-74	36.05	5.33e-261	0.56
chr16-13	chr16	55934838	55934914	+	122.5	0.604	125.500000	219.5	47.0	4.67	7.34e-74	33.30	4.26e-231	0.59
