# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_24h_LPS3
#
# total peaks = 19865
# peak size = 102
# peaks found using tags on both strands
# minimum distance between peaks = 204
# fragment length = 300
# genome size = 2000000000
# Total tags = 12951073.0
# Total tags in peaks = 443910.0
# Approximate IP efficiency = 3.43%
# tags per bp = 0.005891
# expected tags per peak = 0.601
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 2.475029e-07
# FDR tag threshold = 8.0
# number of putative peaks = 88038
#
# input tag directory = Anat_WT_24h_LPS3
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 64886
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 3277
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 10
#
# cmd = findPeaks Anat_WT_24h_LPS3 -o Anat_WT_24h_LPS3.peaks.txt -style factor -fragLength 300 -i Anat_WT_24h_LPS3
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr13-1	chr13	9010991	9011093	+	348.6	0.907	177.000000	451.5	0.5	903.00	0.00e+00	98.35	0.00e+00	0.66
chr13-55	chr13	9010991	9011093	+	180.3	0.902	99.500000	233.5	30.0	7.78	1.64e-121	34.07	6.44e-261	1.03
chr1-55	chr1	24619540	24619642	+	166.0	0.998	111.000000	215.0	29.5	7.29	3.96e-107	74.51	1.08e-312	0.81
chrX-2	chrX	139917564	139917666	+	155.2	0.982	109.000000	201.0	0.5	402.00	0.00e+00	94.00	1.66e-312	0.81
chrX-16	chrX	139917564	139917666	+	151.0	0.982	87.500000	195.5	0.5	391.00	0.00e+00	89.07	1.65e-298	1.00
chr12-27	chr12	8647801	8647903	+	137.8	0.655	124.000000	178.5	44.0	4.06	5.66e-52	22.91	3.48e-170	0.69
chr16-15	chr16	55934822	55934924	+	127.0	0.564	121.000000	164.5	38.0	4.33	1.51e-51	37.04	5.77e-190	0.69
chr18-326	chr18	13107748	13107850	+	118.9	0.914	56.000000	154.0	15.5	9.94	1.37e-95	67.62	3.75e-218	1.42
chr17-83	chr17	35575953	35576055	+	118.5	0.808	95.500000	153.5	29.5	5.20	7.26e-58	36.11	1.05e-175	0.83
chr8-545	chr8	4656724	4656826	+	115.8	0.883	55.500000	150.0	0.5	300.00	7.44e-309	104.72	1.08e-240	1.49
chr12-55	chr12	8928603	8928705	+	115.0	0.552	108.000000	149.0	35.5	4.20	1.27e-45	19.00	2.03e-131	0.73
chr2-63	chr2	84555596	84555698	+	113.1	0.509	108.500000	146.5	30.5	4.80	3.11e-51	16.76	4.10e-121	0.74
chr7-101	chr7	138703775	138703877	+	112.3	0.639	101.500000	145.5	21.5	6.77	1.07e-68	37.40	9.17e-169	0.80
chr9-57	chr9	3023490	3023592	+	112.3	0.894	106.000000	145.5	35.0	4.16	7.99e-44	5.56	2.49e-58	0.73
chr1-54	chr1	193221287	193221389	+	111.2	0.491	111.500000	144.0	35.5	4.06	1.56e-42	14.32	1.90e-110	0.71
chr9-25	chr9	3006797	3006899	+	111.2	0.829	123.000000	144.0	25.0	5.76	6.08e-60	7.69	2.40e-75	0.64
chr9-189	chr9	3006792	3006894	+	110.8	0.898	78.500000	143.5	13.5	10.63	1.70e-92	7.67	1.79e-74	0.99
chr14-52	chr14	119406738	119406840	+	110.0	0.730	98.000000	142.5	30.5	4.67	1.58e-48	24.01	6.97e-139	0.80
chr3-66	chr3	120994736	120994838	+	109.6	0.536	101.500000	142.0	32.5	4.37	1.79e-45	19.76	1.28e-127	0.78
chr18-35	chr18	47118489	47118591	+	109.3	0.631	101.500000	141.5	35.0	4.04	2.28e-41	31.42	8.48e-154	0.76
chr17-87	chr17	21787492	21787594	+	108.9	0.697	94.500000	141.0	33.5	4.21	2.09e-43	42.23	1.29e-171	0.81
chr9-65	chr9	3025654	3025756	+	108.1	0.641	102.000000	140.0	33.0	4.24	1.76e-43	5.32	2.44e-54	0.77
chr3-112	chr3	19935135	19935237	+	105.8	0.565	91.000000	137.0	33.0	4.15	1.33e-41	35.17	3.35e-156	0.83
chr9-41	chr9	3024280	3024382	+	105.8	0.605	113.500000	137.0	22.5	6.09	7.15e-60	5.54	3.32e-55	0.67
chr1-148	chr1	167564709	167564811	+	105.0	0.766	89.000000	136.0	33.0	4.12	5.52e-41	31.88	1.93e-149	0.87
chr7-96	chr7	144602597	144602699	+	104.6	0.528	102.000000	135.5	26.5	5.11	1.97e-50	18.62	6.10e-118	0.75
chr13-73	chr13	86186354	86186456	+	103.9	0.707	94.000000	134.5	32.0	4.20	4.08e-41	32.39	5.89e-148	0.80
chr18-33	chr18	60685911	60686013	+	98.8	0.539	104.000000	128.0	31.0	4.13	9.21e-39	18.98	4.12e-113	0.70
chr15-80	chr15	44450537	44450639	+	98.4	0.653	89.500000	127.5	21.0	6.07	2.51e-55	15.25	1.14e-100	0.84
chr7-210	chr7	13466433	13466535	+	97.3	0.765	84.500000	126.0	29.0	4.34	2.54e-40	46.94	3.20e-159	0.86
chr1-158	chr1	182126121	182126223	+	96.9	0.713	87.500000	125.5	31.0	4.05	6.38e-37	24.09	1.20e-122	0.83
chr10-70	chr10	118677331	118677433	+	96.9	0.513	100.500000	125.5	30.0	4.18	2.85e-38	14.29	7.59e-96	0.74
chr5-154	chr5	20930547	20930649	+	95.7	0.748	85.000000	124.0	21.5	5.77	6.15e-52	30.04	2.43e-133	0.86
chr9-101	chr9	3029632	3029734	+	95.4	0.753	93.000000	123.5	17.0	7.26	8.74e-62	5.72	5.82e-51	0.77
chr10-69	chr10	129979290	129979392	+	95.4	0.718	101.000000	123.5	29.5	4.19	1.02e-37	42.57	3.61e-150	0.71
chr13-96	chr13	91062481	91062583	+	95.4	0.660	88.500000	123.5	26.0	4.75	5.86e-43	33.95	2.14e-138	0.84
