# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_24h_LPS1
#
# total peaks = 24491
# peak size = 96
# peaks found using tags on both strands
# minimum distance between peaks = 192
# fragment length = 300
# genome size = 2000000000
# Total tags = 7629951.5
# Total tags in peaks = 441455.0
# Approximate IP efficiency = 5.79%
# tags per bp = 0.003527
# expected tags per peak = 0.339
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 1.566380e-06
# FDR tag threshold = 6.0
# number of putative peaks = 96079
#
# input tag directory = Anat_WT_24h_LPS1
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 68278
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 3296
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 14
#
# cmd = findPeaks Anat_WT_24h_LPS1 -o Anat_WT_24h_LPS1.peaks.txt -style factor -fragLength 300 -i Anat_WT_24h_LPS1
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr13-1	chr13	9010993	9011089	+	492.8	0.897	146.000000	376.0	0.5	752.00	0.00e+00	96.25	0.00e+00	0.78
chr6-2	chr6	103599147	103599243	+	285.7	0.944	128.000000	218.0	0.5	436.00	0.00e+00	47.55	3.24e-275	0.69
chr13-17	chr13	9010993	9011089	+	264.7	0.894	84.000000	202.0	30.0	6.73	8.20e-95	36.12	1.26e-231	1.03
chr19-6	chr19	61275630	61275726	+	232.0	0.808	98.000000	177.0	6.0	29.50	3.96e-188	45.14	6.17e-220	0.83
chrX-1	chrX	139917557	139917653	+	200.5	0.982	89.000000	153.0	0.5	306.00	2.65e-316	102.50	4.71e-244	0.86
chrX-3	chrX	139917557	139917653	+	199.9	0.982	76.500000	152.5	0.5	305.00	8.10e-314	101.83	7.86e-242	1.01
chr17-39	chr17	71313043	71313139	+	197.2	0.997	86.500000	150.5	29.0	5.19	1.26e-56	34.89	4.03e-170	0.88
chr18-155	chr18	13107749	13107845	+	184.8	0.916	52.000000	141.0	14.5	9.72	1.68e-86	90.63	1.30e-217	1.42
chr9-387	chr9	3258818	3258914	+	165.1	0.892	48.000000	126.0	2.5	50.40	4.88e-163	107.43	6.99e-204	1.51
chr9-63	chr9	3006800	3006896	+	156.6	0.910	75.500000	119.5	15.0	7.97	5.65e-64	8.94	3.14e-69	0.91
chr13-132	chr13	44964945	44965041	+	152.0	0.884	57.500000	116.0	25.5	4.55	4.57e-39	65.94	1.48e-163	1.18
chr8-483	chr8	4656727	4656823	+	151.4	0.857	45.000000	115.5	0.5	231.00	4.99e-224	114.03	5.48e-189	1.51
chr2-100	chr2	5300332	5300428	+	148.1	0.978	69.500000	113.0	1.5	75.33	8.02e-166	51.70	1.22e-147	0.98
chr9-10	chr9	3006800	3006896	+	146.8	0.853	97.500000	112.0	19.5	5.74	6.34e-47	8.33	2.07e-62	0.69
chr13-211	chr13	97960505	97960601	+	140.9	0.834	50.500000	107.5	11.0	9.77	4.07e-66	12.79	1.64e-77	1.28
chr9-76	chr9	3012491	3012587	+	138.3	0.919	73.000000	105.5	8.5	12.41	7.94e-75	12.03	1.66e-73	0.88
chr18-102	chr18	13107749	13107845	+	135.0	0.914	57.000000	103.0	6.5	15.85	8.70e-84	53.53	2.83e-136	1.11
chr5-82	chr5	121062801	121062897	+	133.0	0.532	73.500000	101.5	23.5	4.32	2.58e-32	15.84	5.55e-82	0.86
chr16-20	chr16	55934786	55934882	+	132.4	0.554	87.000000	101.0	20.5	4.93	5.09e-37	34.16	2.00e-114	0.74
chr17-76	chr17	35575956	35576052	+	129.1	0.785	71.500000	98.5	24.5	4.02	4.43e-29	31.03	6.68e-107	0.89
chr8-74	chr8	77557759	77557855	+	124.5	0.518	76.000000	95.0	23.5	4.04	1.42e-28	17.69	1.06e-81	0.80
chr7-91	chr7	138703808	138703904	+	121.9	0.679	75.000000	93.0	10.0	9.30	4.39e-56	41.81	1.88e-113	0.80
chr7-148	chr7	71537542	71537638	+	121.2	0.675	67.000000	92.5	21.0	4.40	3.47e-30	21.49	2.35e-86	0.89
chr2-75	chr2	136717108	136717204	+	120.6	0.567	75.000000	92.0	22.0	4.18	9.34e-29	14.85	1.28e-72	0.81
chr3-106	chr3	129428059	129428155	+	120.6	0.629	67.000000	92.0	18.0	5.11	4.64e-35	51.17	3.76e-120	0.89
chr8-97	chr8	116159004	116159100	+	120.6	0.482	71.500000	92.0	21.5	4.28	1.85e-29	13.96	2.63e-70	0.85
chr17-129	chr17	28450348	28450444	+	120.6	0.727	63.000000	92.0	22.5	4.09	4.51e-28	31.17	7.62e-101	0.94
chr9-68	chr9	3029680	3029776	+	119.9	0.801	74.500000	91.5	16.0	5.72	3.78e-38	5.94	2.09e-39	0.81
chr1-92	chr1	167564708	167564804	+	119.3	0.750	70.000000	91.0	18.0	5.06	2.38e-34	35.56	8.01e-105	0.87
chr8-94	chr8	73895429	73895525	+	118.0	0.653	72.000000	90.0	18.0	5.00	1.20e-33	13.05	2.21e-66	0.81
chr18-28	chr18	65959916	65960012	+	118.0	0.533	75.000000	90.0	20.0	4.50	2.20e-30	15.94	1.15e-73	0.81
chr4-72	chr4	147514298	147514394	+	116.6	0.572	73.500000	89.0	21.5	4.14	1.41e-27	27.70	3.32e-93	0.81
chr10-169	chr10	80729418	80729514	+	116.6	0.653	60.000000	89.0	19.0	4.68	2.77e-31	39.49	1.66e-106	0.97
chr9-110	chr9	21760294	21760390	+	115.3	0.515	68.000000	88.0	18.5	4.76	2.04e-31	18.95	2.61e-78	0.86
chr7-147	chr7	71537322	71537418	+	114.7	0.514	67.000000	87.5	14.0	6.25	2.42e-39	20.10	2.37e-79	0.86
chr1-167	chr1	75188560	75188656	+	114.0	0.715	62.000000	87.0	20.0	4.35	1.96e-28	31.94	2.33e-96	0.95
chr8-83	chr8	13785696	13785792	+	114.0	0.527	74.000000	87.0	15.0	5.80	3.65e-37	21.76	2.11e-82	0.81
chr12-57	chr12	32184581	32184677	+	113.4	0.521	73.500000	86.5	17.5	4.94	1.03e-31	23.67	2.81e-84	0.81
chr12-74	chr12	56181301	56181397	+	113.4	0.564	69.000000	86.5	20.5	4.22	4.36e-27	28.42	7.60e-91	0.83
chr5-83	chr5	21207394	21207490	+	112.7	0.529	73.000000	86.0	20.5	4.20	4.36e-27	20.95	3.97e-80	0.81
chr2-96	chr2	25430374	25430470	+	112.1	0.644	70.500000	85.5	19.0	4.50	1.26e-28	29.26	7.67e-91	0.80
chr2-149	chr2	130490096	130490192	+	112.1	0.590	64.500000	85.5	21.0	4.07	8.70e-26	25.35	9.68e-86	0.88
chr8-105	chr8	94879983	94880079	+	112.1	0.583	70.500000	85.5	20.5	4.17	1.84e-26	17.78	2.83e-73	0.80
chr2-58	chr2	84555627	84555723	+	111.4	0.512	78.000000	85.0	18.0	4.72	3.41e-30	15.16	6.15e-68	0.78
chr11-81	chr11	35582948	35583044	+	111.4	0.618	75.000000	85.0	21.0	4.05	8.70e-26	19.51	1.03e-76	0.75
chr9-162	chr9	3258818	3258914	+	110.7	0.903	61.500000	84.5	0.5	169.00	9.46e-153	53.65	2.39e-111	0.92
chr16-33	chr16	57121591	57121687	+	110.7	0.537	76.500000	84.5	20.0	4.22	1.57e-26	28.49	7.42e-89	0.74
chr1-94	chr1	34496411	34496507	+	110.1	0.518	69.500000	84.0	18.5	4.54	9.86e-29	14.84	1.96e-66	0.83
chr9-119	chr9	106794526	106794622	+	110.1	0.515	66.500000	84.0	17.5	4.80	2.48e-30	15.99	5.55e-69	0.84
chr9-77	chr9	21314755	21314851	+	109.4	0.522	73.000000	83.5	16.0	5.22	3.08e-32	22.26	2.82e-79	0.79
chr15-71	chr15	82176531	82176627	+	109.4	0.520	68.500000	83.5	20.5	4.07	3.14e-25	21.62	2.87e-78	0.84
chr17-83	chr17	57136688	57136784	+	109.4	0.635	70.500000	83.5	19.0	4.39	2.51e-27	29.55	4.29e-89	0.80
chr6-231	chr6	47707943	47708039	+	108.8	0.782	53.000000	83.0	1.5	55.33	2.38e-111	71.96	1.14e-120	1.06
chr2-197	chr2	121097184	121097280	+	108.1	0.762	60.000000	82.5	17.5	4.71	5.68e-29	35.24	4.05e-94	0.92
chr3-115	chr3	94964252	94964348	+	108.1	0.767	65.500000	82.5	17.5	4.71	5.68e-29	41.12	1.83e-99	0.84
chr9-84	chr9	3024425	3024521	+	108.1	0.821	71.500000	82.5	17.0	4.85	8.63e-30	4.69	7.86e-29	0.83
chr4-141	chr4	106739465	106739561	+	107.5	0.846	64.500000	82.0	17.0	4.82	8.63e-30	55.84	2.38e-110	0.88
chr5-140	chr5	150439092	150439188	+	107.5	0.523	64.500000	82.0	16.5	4.97	1.22e-30	22.15	2.26e-78	0.89
chr7-93	chr7	28258493	28258589	+	107.5	0.524	74.500000	82.0	19.5	4.21	5.66e-26	11.12	2.10e-55	0.77
chr3-179	chr3	62310937	62311033	+	106.8	0.809	59.500000	81.5	14.5	5.62	1.24e-33	38.84	2.58e-96	0.95
chr9-489	chr9	110183773	110183869	+	106.8	0.967	44.500000	81.5	0.5	163.00	4.33e-146	105.10	8.99e-131	1.23
chr16-220	chr16	35981781	35981877	+	106.8	0.968	49.500000	81.5	14.0	5.82	1.19e-34	18.26	8.86e-71	1.12
chr17-136	chr17	47905765	47905861	+	106.8	0.732	62.500000	81.5	16.0	5.09	8.24e-31	26.95	7.41e-84	0.93
chr4-167	chr4	95224101	95224197	+	106.2	0.770	62.500000	81.0	20.0	4.05	1.14e-24	51.90	1.67e-106	0.90
chr6-62	chr6	83817201	83817297	+	106.2	0.609	73.000000	81.0	15.5	5.23	1.03e-31	39.98	1.60e-97	0.80
chr7-112	chr7	26022973	26023069	+	106.2	0.514	71.000000	81.0	16.5	4.91	6.09e-30	11.95	4.58e-57	0.81
chr7-159	chr7	26180816	26180912	+	106.2	0.529	66.000000	81.0	20.0	4.05	1.14e-24	18.05	1.34e-70	0.84
chr15-93	chr15	3220720	3220816	+	106.2	0.614	64.000000	81.0	13.5	6.00	1.02e-35	28.23	1.21e-85	0.87
chr1-78	chr1	36996645	36996741	+	105.5	0.590	72.000000	80.5	18.5	4.35	3.95e-26	28.84	4.13e-85	0.77
chr4-99	chr4	46402054	46402150	+	105.5	0.665	69.500000	80.5	19.5	4.13	9.96e-25	30.53	4.98e-87	0.78
chr4-122	chr4	120242642	120242738	+	105.5	0.590	66.000000	80.5	14.0	5.75	6.88e-34	27.68	9.66e-84	0.83
