# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_noLPS2
#
# total peaks = 1710
# peak size = 132
# peaks found using tags on both strands
# minimum distance between peaks = 264
# fragment length = 300
# genome size = 2000000000
# Total tags = 7855249.0
# Total tags in peaks = 27702.5
# Approximate IP efficiency = 0.35%
# tags per bp = 0.003803
# expected tags per peak = 0.502
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 1.029584e-06
# FDR tag threshold = 7.0
# number of putative peaks = 33416
#
# input tag directory = Anat_WT_noLPS2
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 31555
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 146
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 5
#
# cmd = findPeaks Anat_WT_noLPS2 -o Anat_WT_noLPS2.peaks.txt -style factor -fragLength 300 -i Anat_WT_noLPS2
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr13-1	chr13	9010975	9011107	+	371.7	0.896	140.000000	292.0	0.5	584.00	0.00e+00	85.60	0.00e+00	0.86
chrX-1	chrX	139917539	139917671	+	238.7	0.976	102.000000	187.5	3.0	62.50	5.88e-258	67.07	1.35e-263	0.98
chr17-12	chr17	13744939	13745071	+	153.4	0.655	106.000000	120.5	16.0	7.53	6.05e-62	15.71	1.14e-96	0.75
chr13-4	chr13	8884962	8885094	+	148.3	0.648	96.500000	116.5	25.0	4.66	7.54e-40	48.52	3.66e-148	0.81
chr16-9	chr16	55934811	55934943	+	148.3	0.633	98.000000	116.5	25.0	4.66	7.54e-40	49.77	2.04e-149	0.79
chr7-7	chr7	144602485	144602617	+	143.9	0.577	97.000000	113.0	28.0	4.04	1.39e-33	27.43	2.30e-117	0.80
chr9-8	chr9	3006782	3006914	+	131.1	0.883	102.500000	103.0	18.0	5.72	3.65e-43	7.60	5.65e-54	0.76
chr5-12	chr5	150439059	150439191	+	123.5	0.579	85.500000	97.0	20.0	4.85	4.26e-35	31.32	2.01e-106	0.81
chr7-31	chr7	13563337	13563469	+	122.8	0.577	83.000000	96.5	21.5	4.49	4.88e-32	23.01	9.32e-93	0.83
chr7-33	chr7	71537308	71537440	+	120.9	0.561	83.000000	95.0	18.0	5.28	3.23e-37	26.65	7.91e-98	0.83
chr9-27	chr9	3024275	3024407	+	112.7	0.581	78.500000	88.5	15.0	5.90	6.21e-38	4.94	2.06e-32	0.84
chr2-52	chr2	5300314	5300446	+	112.0	0.986	64.500000	88.0	15.0	5.87	6.21e-38	38.93	8.58e-105	1.01
chr3-47	chr3	19935198	19935330	+	109.5	0.638	70.000000	86.0	19.5	4.41	1.58e-28	56.90	2.50e-116	0.93
chr9-31	chr9	3029661	3029793	+	109.5	0.810	75.000000	86.0	11.0	7.82	2.86e-46	5.16	3.45e-33	0.93
chr5-28	chr5	23900197	23900329	+	101.8	0.690	71.000000	80.0	19.5	4.10	9.96e-25	48.04	1.42e-102	0.85
chr9-53	chr9	3012511	3012643	+	100.6	0.915	64.500000	79.0	7.5	10.53	9.20e-52	9.22	1.18e-47	0.96
chr13-45	chr13	35998006	35998138	+	99.9	0.602	65.000000	78.5	15.0	5.23	1.81e-30	47.91	9.40e-100	0.91
chr13-159	chr13	97960486	97960618	+	93.6	0.852	41.500000	73.5	4.0	18.38	3.86e-64	15.48	5.08e-59	1.41
chr18-88	chr18	13107729	13107861	+	92.3	0.920	45.500000	72.5	8.5	8.53	3.11e-41	55.88	6.33e-97	1.33
chr9-100	chr9	24346473	24346605	+	85.3	0.975	53.500000	67.0	1.5	44.67	3.93e-84	53.28	3.67e-89	0.99
chr9-256	chr9	110183751	110183883	+	82.7	0.983	36.500000	65.0	0.5	130.00	1.99e-111	84.51	2.19e-99	1.41
chr4-90	chr4	117852465	117852597	+	82.1	0.549	54.500000	64.5	9.5	6.79	2.59e-31	22.22	1.88e-61	0.95
chr10-70	chr10	40603110	40603242	+	81.5	0.743	58.500000	64.0	8.5	7.53	5.61e-34	37.38	1.29e-75	0.90
chr15-52	chr15	102455711	102455843	+	81.5	0.555	58.500000	64.0	15.0	4.27	5.83e-21	26.65	1.65e-66	0.88
chr9-111	chr9	100935126	100935258	+	80.8	0.651	51.500000	63.5	13.5	4.70	1.42e-22	36.10	2.53e-73	1.00
chr16-54	chr16	37539834	37539966	+	79.6	0.695	56.000000	62.5	14.0	4.46	3.90e-21	23.25	9.66e-61	0.89
chr2-72	chr2	172196192	172196324	+	77.0	0.656	60.500000	60.5	15.0	4.03	1.79e-18	47.11	1.12e-76	0.86
chr9-89	chr9	3032590	3032722	+	77.0	0.637	55.000000	60.5	7.0	8.64	6.29e-35	4.27	1.28e-19	0.90
chr8-126	chr8	47772336	47772468	+	74.5	0.646	52.000000	58.5	13.5	4.33	2.74e-19	48.86	4.48e-75	0.92
chr17-94	chr17	17511176	17511308	+	74.5	0.659	47.500000	58.5	12.5	4.68	8.39e-21	30.27	2.54e-63	1.06
chr8-130	chr8	40705243	40705375	+	73.8	0.776	51.500000	58.0	9.0	6.44	1.37e-27	32.24	4.52e-65	0.93
chr10-105	chr10	67000367	67000499	+	73.8	0.629	51.000000	58.0	14.0	4.14	1.38e-18	19.02	2.60e-52	0.92
chr17-74	chr17	57136671	57136803	+	73.2	0.679	52.500000	57.5	10.5	5.48	1.34e-23	35.67	3.33e-66	0.88
chr4-100	chr4	107040354	107040486	+	72.6	0.681	52.500000	57.0	9.0	6.33	8.88e-27	51.65	2.30e-75	0.90
chr1-107	chr1	45852112	45852244	+	71.3	0.572	55.000000	56.0	9.5	5.89	7.14e-25	27.54	3.46e-59	0.90
