# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_12h_LPS4
#
# total peaks = 22050
# peak size = 81
# peaks found using tags on both strands
# minimum distance between peaks = 162
# fragment length = 300
# genome size = 2000000000
# Total tags = 10107617.0
# Total tags in peaks = 409686.5
# Approximate IP efficiency = 4.05%
# tags per bp = 0.004744
# expected tags per peak = 0.384
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 1.755481e-07
# FDR tag threshold = 7.0
# number of putative peaks = 99468
#
# input tag directory = Anat_WT_12h_LPS4
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 74242
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 3167
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 9
#
# cmd = findPeaks Anat_WT_12h_LPS4 -o Anat_WT_12h_LPS4.peaks.txt -style factor -fragLength 300 -i Anat_WT_12h_LPS4
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr13-1	chr13	9011001	9011081	+	308.7	0.903	131.500000	312.0	0.5	624.00	0.00e+00	93.72	0.00e+00	0.65
chr6-2	chr6	103599155	103599235	+	293.8	0.935	144.500000	297.0	0.5	594.00	0.00e+00	42.90	0.00e+00	0.56
chrX-1	chrX	139917564	139917644	+	205.3	0.982	108.000000	207.5	0.5	415.00	0.00e+00	118.46	0.00e+00	0.71
chrX-2	chrX	139917564	139917644	+	201.8	0.982	98.000000	204.0	0.5	408.00	0.00e+00	114.33	0.00e+00	0.78
chr13-17	chr13	9011001	9011081	+	196.4	0.897	82.500000	198.5	10.5	18.90	2.30e-173	46.67	1.37e-248	0.92
chr1-5	chr1	197067781	197067861	+	182.0	0.739	107.000000	184.0	8.5	21.65	9.86e-172	19.65	2.21e-164	0.68
chr16-2	chr16	52031524	52031604	+	148.9	0.628	101.000000	150.5	31.0	4.85	3.84e-53	30.26	3.31e-159	0.71
chr9-11	chr9	3012526	3012606	+	143.0	0.902	92.500000	145.0	11.5	12.61	8.64e-104	14.28	4.22e-110	0.73
chr9-17	chr9	3012539	3012619	+	142.5	0.901	89.500000	144.0	3.0	48.00	4.65e-183	14.37	1.07e-109	0.78
chr19-10	chr19	61275639	61275719	+	142.0	0.762	77.000000	144.0	7.0	20.57	8.54e-132	40.26	4.02e-171	0.91
chr11-5	chr11	3023887	3023967	+	141.0	0.699	95.000000	145.0	35.0	4.14	7.99e-44	17.56	1.60e-120	0.72
chr18-96	chr18	13107754	13107834	+	139.5	0.920	58.000000	141.0	28.5	4.95	3.75e-51	105.60	7.02e-227	1.17
