# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_24h_LPS2
#
# total peaks = 28247
# peak size = 92
# peaks found using tags on both strands
# minimum distance between peaks = 184
# fragment length = 300
# genome size = 2000000000
# Total tags = 15034308.5
# Total tags in peaks = 708211.5
# Approximate IP efficiency = 4.71%
# tags per bp = 0.006773
# expected tags per peak = 0.623
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 3.244983e-07
# FDR tag threshold = 8.0
# number of putative peaks = 118821
#
# input tag directory = Anat_WT_24h_LPS2
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 85791
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 4774
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 9
#
# cmd = findPeaks Anat_WT_24h_LPS2 -o Anat_WT_24h_LPS2.peaks.txt -style factor -fragLength 300 -i Anat_WT_24h_LPS2
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr13-1	chr13	9010996	9011088	+	288.0	0.889	173.000000	433.0	0.5	866.00	0.00e+00	92.16	0.00e+00	0.60
chr6-2	chr6	103599149	103599241	+	219.2	0.932	164.500000	329.5	0.5	659.00	0.00e+00	45.91	0.00e+00	0.55
chrX-3	chrX	139917557	139917649	+	146.3	0.983	115.000000	220.0	0.5	440.00	0.00e+00	103.01	0.00e+00	0.73
chrX-8	chrX	139917557	139917649	+	145.7	0.982	95.000000	219.0	0.5	438.00	0.00e+00	101.88	0.00e+00	0.88
chr19-17	chr19	61275633	61275725	+	141.7	0.769	111.000000	213.0	11.5	18.52	9.01e-185	38.95	6.44e-251	0.75
chr13-8	chr13	8884925	8885017	+	132.7	0.583	127.500000	199.5	49.0	4.07	3.93e-58	38.06	2.06e-232	0.65
chr8-49	chr8	116159037	116159129	+	111.7	0.495	112.000000	168.0	31.0	5.42	5.90e-66	12.39	9.36e-119	0.70
chr9-14	chr9	3006802	3006894	+	109.7	0.831	133.000000	165.0	11.0	15.00	2.23e-129	8.02	1.32e-88	0.61
chr10-29	chr10	118677344	118677436	+	109.4	0.526	118.000000	164.5	40.5	4.06	4.35e-48	17.66	2.49e-139	0.68
chr18-275	chr18	13107750	13107842	+	108.4	0.913	66.000000	163.0	26.5	6.15	1.80e-71	71.94	4.13e-235	1.17
