# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_noLPS1
#
# total peaks = 7654
# peak size = 113
# peaks found using tags on both strands
# minimum distance between peaks = 226
# fragment length = 300
# genome size = 2000000000
# Total tags = 8598043.5
# Total tags in peaks = 123206.0
# Approximate IP efficiency = 1.43%
# tags per bp = 0.004131
# expected tags per peak = 0.467
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 6.380071e-07
# FDR tag threshold = 7.0
# number of putative peaks = 48450
#
# input tag directory = Anat_WT_noLPS1
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 40037
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 754
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 5
#
# cmd = findPeaks Anat_WT_noLPS1 -o Anat_WT_noLPS1.peaks.txt -style factor -fragLength 300 -i Anat_WT_noLPS1
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr13-1	chr13	9010985	9011097	+	360.0	0.889	149.500000	310.5	0.5	621.00	0.00e+00	92.11	0.00e+00	0.74
chrX-1	chrX	139917550	139917662	+	233.8	0.985	108.500000	201.0	0.5	402.00	0.00e+00	78.86	2.34e-297	0.87
chr13-21	chr13	9010985	9011097	+	233.2	0.880	81.500000	201.0	26.0	7.73	9.50e-105	43.37	1.24e-244	1.22
chrX-3	chrX	139917550	139917662	+	232.6	0.984	87.000000	200.0	0.5	400.00	0.00e+00	77.95	6.92e-295	1.08
chr3-17	chr3	30501322	30501434	+	130.8	0.562	92.500000	112.5	27.5	4.09	1.22e-33	21.80	1.25e-105	0.77
chr8-18	chr8	75094804	75094916	+	130.8	0.580	90.500000	113.5	24.0	4.73	1.97e-39	29.78	5.29e-120	0.80
chr18-112	chr18	13107739	13107851	+	120.4	0.933	50.500000	103.5	13.5	7.67	4.23e-54	67.08	5.50e-146	1.37
chr7-32	chr7	13563310	13563422	+	116.9	0.532	87.500000	101.5	24.0	4.23	1.32e-31	20.31	2.25e-91	0.77
chr7-39	chr7	144602521	144602633	+	116.3	0.557	85.000000	101.0	25.0	4.04	3.03e-30	24.82	6.54e-100	0.80
chr12-35	chr12	8647796	8647908	+	115.7	0.683	81.500000	99.5	20.5	4.85	1.23e-35	27.68	3.11e-103	0.81
chr2-26	chr2	84555606	84555718	+	113.4	0.547	84.500000	99.0	13.5	7.33	1.36e-50	22.48	9.20e-93	0.79
chr10-22	chr10	118677326	118677438	+	111.7	0.537	83.500000	96.0	23.5	4.09	3.47e-29	18.14	1.57e-83	0.79
chr9-26	chr9	3006792	3006904	+	110.5	0.846	85.500000	95.5	18.5	5.16	2.66e-36	7.13	1.29e-47	0.76
chr16-23	chr16	55934820	55934932	+	109.9	0.591	81.500000	95.0	23.0	4.13	3.02e-29	36.34	7.18e-109	0.82
chr5-31	chr5	150439051	150439163	+	105.3	0.543	79.500000	91.5	22.0	4.16	3.92e-28	24.29	4.35e-89	0.81
chr13-33	chr13	35998016	35998128	+	105.3	0.589	75.000000	91.5	16.5	5.55	3.80e-37	42.34	3.96e-110	0.86
chr9-41	chr9	21760277	21760389	+	104.1	0.556	77.500000	89.5	21.0	4.26	2.85e-28	22.51	1.68e-85	0.84
chr15-29	chr15	3220665	3220777	+	104.1	0.696	74.500000	89.5	18.0	4.97	6.04e-33	36.25	4.49e-103	0.85
chr9-49	chr9	3024289	3024401	+	102.9	0.589	75.000000	88.5	11.0	8.05	4.51e-48	5.03	8.59e-33	0.83
chr9-82	chr9	3012493	3012605	+	101.8	0.949	66.500000	87.5	10.0	8.75	2.43e-50	10.88	9.66e-58	1.01
chr4-46	chr4	108000776	108000888	+	100.6	0.628	74.500000	86.5	20.0	4.33	8.54e-28	36.21	1.29e-99	0.84
chr3-50	chr3	8923633	8923745	+	100.0	0.597	74.500000	86.5	21.5	4.02	9.79e-26	31.83	7.40e-94	0.83
chr2-112	chr2	5300323	5300435	+	98.3	0.989	61.000000	85.0	2.0	42.50	1.90e-104	45.78	1.11e-105	0.98
chr17-74	chr17	17511193	17511305	+	98.3	0.645	65.500000	84.5	16.0	5.28	5.85e-33	31.14	3.31e-92	0.92
chr16-43	chr16	44139340	44139452	+	96.5	0.583	69.000000	83.0	17.0	4.88	1.76e-30	17.91	4.95e-72	0.85
chr17-50	chr17	17975153	17975265	+	96.5	0.632	70.500000	83.0	19.5	4.26	1.33e-26	26.26	3.34e-85	0.85
chr18-40	chr18	32227359	32227471	+	96.0	0.618	68.500000	83.0	18.5	4.49	4.49e-28	37.91	3.63e-93	0.88
chr3-95	chr3	130412344	130412456	+	95.4	0.674	64.000000	82.0	12.0	6.83	4.70e-40	48.81	1.21e-101	0.92
chr17-46	chr17	13185261	13185373	+	95.4	0.578	71.500000	83.5	17.0	4.91	1.76e-30	23.80	8.01e-81	0.84
chr16-38	chr16	84835292	84835404	+	94.2	0.559	70.500000	81.0	18.5	4.38	8.99e-27	18.06	1.45e-69	0.83
chr3-85	chr3	19935114	19935226	+	93.0	0.614	65.500000	80.5	13.0	6.19	4.91e-36	46.07	1.07e-99	0.90
chr9-206	chr9	3006790	3006902	+	93.0	0.894	49.000000	80.0	8.5	9.41	7.17e-49	5.89	9.00e-35	1.17
chr18-27	chr18	60685914	60686026	+	93.0	0.561	73.500000	80.0	17.0	4.71	2.00e-28	25.28	6.23e-79	0.80
chr2-57	chr2	77784409	77784521	+	92.5	0.656	71.500000	80.5	16.5	4.88	3.00e-29	41.53	3.22e-96	0.84
chr4-69	chr4	139178656	139178768	+	91.9	0.680	68.500000	79.0	19.5	4.05	4.10e-24	45.93	8.30e-100	0.84
chr7-96	chr7	26022996	26023108	+	90.7	0.565	67.500000	78.0	18.0	4.33	1.42e-25	14.41	6.71e-61	0.86
chr13-47	chr13	65379981	65380093	+	90.7	0.643	71.000000	78.0	18.0	4.33	1.42e-25	43.89	4.61e-97	0.80
chr3-60	chr3	143868449	143868561	+	88.4	0.649	71.500000	76.0	18.5	4.11	1.30e-23	14.39	2.21e-58	0.77
chr7-87	chr7	99709717	99709829	+	88.4	0.495	69.000000	77.5	12.5	6.20	8.85e-35	19.26	2.65e-67	0.84
chr7-97	chr7	147222380	147222492	+	87.8	0.600	67.500000	75.5	15.5	4.87	1.77e-27	37.11	7.35e-88	0.81
chr1-86	chr1	99666716	99666828	+	87.2	0.580	67.000000	78.5	19.0	4.13	3.60e-24	26.02	1.14e-75	0.84
chr11-76	chr11	31770584	31770696	+	87.2	0.572	63.000000	75.5	11.5	6.57	1.72e-35	22.96	5.14e-72	0.89
chr7-101	chr7	13420172	13420284	+	86.6	0.609	66.500000	74.5	18.0	4.14	4.70e-23	38.57	6.45e-88	0.82
chr8-101	chr8	73895362	73895474	+	86.6	0.542	66.500000	75.0	15.5	4.84	1.77e-27	14.28	2.18e-57	0.83
chr5-110	chr5	73259811	73259923	+	86.1	0.605	60.500000	74.0	12.0	6.17	1.60e-33	42.18	6.22e-91	0.91
chr17-87	chr17	21787510	21787622	+	86.1	0.707	62.000000	74.5	15.5	4.81	8.58e-27	41.48	3.31e-89	0.89
chr18-53	chr18	34784340	34784452	+	85.5	0.601	64.000000	73.5	17.0	4.32	7.99e-24	37.28	1.06e-85	0.84
chr1-90	chr1	87600272	87600384	+	84.9	0.675	66.000000	73.5	16.5	4.45	1.48e-24	29.99	3.26e-79	0.86
chr17-80	chr17	85190059	85190171	+	84.9	0.628	64.500000	73.0	16.0	4.56	2.55e-25	30.06	2.76e-79	0.84
chr18-64	chr18	77286002	77286114	+	84.9	0.678	60.500000	73.5	17.0	4.32	7.99e-24	42.71	6.62e-89	0.91
chr15-53	chr15	102455701	102455813	+	83.7	0.546	65.500000	72.0	15.5	4.65	1.94e-25	23.08	2.87e-70	0.83
chr4-81	chr4	155043391	155043503	+	82.6	0.650	67.000000	71.0	17.5	4.06	7.02e-22	36.54	5.24e-83	0.81
chr7-117	chr7	26023341	26023453	+	82.6	0.524	64.000000	71.0	17.5	4.06	7.02e-22	12.73	2.40e-51	0.83
chr2-116	chr2	119034511	119034623	+	82.0	0.632	61.000000	70.5	13.5	5.22	1.88e-27	25.36	4.03e-71	0.87
chr7-121	chr7	87469213	87469325	+	82.0	0.631	63.500000	70.5	17.5	4.03	2.86e-21	55.08	7.58e-94	0.82
chr10-81	chr10	40603120	40603232	+	82.0	0.715	64.000000	71.0	12.5	5.68	4.03e-30	36.07	2.86e-81	0.82
chr3-107	chr3	40698011	40698123	+	81.4	0.715	62.000000	70.0	12.0	5.83	2.15e-30	32.43	4.89e-77	0.86
chr5-82	chr5	23900263	23900375	+	81.4	0.607	66.000000	71.5	13.5	5.30	3.56e-28	35.20	9.33e-81	0.83
chr11-90	chr11	45768754	45768866	+	80.8	0.635	61.000000	69.5	15.5	4.48	1.89e-23	50.67	4.43e-90	0.85
chr17-65	chr17	36053617	36053729	+	80.8	0.592	67.500000	69.5	12.5	5.56	1.29e-28	11.58	7.83e-48	0.81
chr7-167	chr7	107854856	107854968	+	80.3	0.572	59.000000	70.5	16.0	4.41	2.35e-23	29.60	1.53e-73	0.89
chr3-136	chr3	119486192	119486304	+	79.7	0.643	58.500000	68.5	16.0	4.28	4.48e-22	22.57	1.23e-65	0.88
chr8-130	chr8	113142421	113142533	+	79.7	0.770	60.500000	68.5	16.5	4.15	2.22e-21	41.33	6.52e-83	0.86
chr12-98	chr12	4775790	4775902	+	79.7	0.738	59.500000	68.5	14.0	4.89	3.63e-25	62.96	2.62e-95	0.87
chr7-138	chr7	52622619	52622731	+	79.1	0.588	61.500000	68.0	14.0	4.86	3.63e-25	19.73	4.65e-62	0.84
chr15-76	chr15	76490401	76490513	+	79.1	0.552	58.000000	68.0	16.5	4.12	2.22e-21	18.75	1.49e-59	0.89
chr9-365	chr9	3258806	3258918	+	78.5	0.881	37.500000	67.5	2.0	33.75	5.64e-76	64.55	1.96e-94	1.35
chr2-143	chr2	38781946	38782058	+	77.9	0.609	57.500000	67.0	12.0	5.58	4.13e-28	29.17	8.20e-71	0.88
chr3-117	chr3	95428943	95429055	+	77.9	0.557	61.000000	67.5	15.0	4.50	6.75e-23	19.41	1.02e-60	0.84
chr10-139	chr10	88289514	88289626	+	77.9	0.775	56.500000	67.0	13.0	5.15	3.30e-26	50.60	3.44e-86	0.91
