# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_noLPS4_S16
#
# total peaks = 102
# peak size = 166
# peaks found using tags on both strands
# minimum distance between peaks = 332
# fragment length = 300
# genome size = 2000000000
# Total tags = 4159327.5
# Total tags in peaks = 1953.0
# Approximate IP efficiency = 0.05%
# tags per bp = 0.002046
# expected tags per peak = 0.340
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 7.693750e-08
# FDR tag threshold = 7.0
# number of putative peaks = 13683
#
# input tag directory = Anat_WT_noLPS4_S16
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 13565
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 13
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 3
#
# cmd = findPeaks Anat_WT_noLPS4_S16 -o Anat_WT_noLPS4_S16.peaks.txt -style factor -fragLength 300 -i Anat_WT_noLPS4_S16
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chrX-1	chrX	139917532	139917698	+	384.7	0.988	91.000000	160.0	7.0	22.86	3.32e-153	54.01	3.26e-211	1.13
chr9-4	chr9	3025618	3025784	+	227.2	0.716	84.500000	94.5	21.5	4.40	9.70e-31	6.29	1.35e-42	0.86
chr17-9	chr17	13744940	13745106	+	211.6	0.648	87.500000	88.0	20.5	4.29	2.38e-28	10.60	1.17e-57	0.83
chr9-15	chr9	3012480	3012646	+	173.1	0.913	62.500000	72.0	6.0	12.00	4.69e-51	10.98	1.63e-48	0.99
chr13-8	chr13	9010959	9011125	+	169.5	0.857	58.000000	70.5	12.0	5.88	2.15e-30	67.91	4.12e-100	1.00
chr9-11	chr9	3024265	3024431	+	168.3	0.620	69.000000	70.0	15.0	4.67	6.86e-25	4.73	3.11e-25	0.88
chr9-21	chr9	24346454	24346620	+	141.8	0.950	53.500000	59.0	5.5	10.73	1.56e-39	48.54	2.17e-76	0.93
chr9-32	chr9	3032591	3032757	+	109.4	0.639	45.000000	45.5	10.5	4.33	2.68e-15	4.19	8.89e-15	0.90
chr16-31	chr16	55934791	55934957	+	92.6	0.601	38.500000	38.5	9.0	4.28	5.59e-13	40.73	8.76e-47	0.90
chr5-153	chr5	137458586	137458752	+	90.2	0.954	22.000000	37.5	1.0	37.50	2.75e-44	98.73	1.38e-59	1.55
