# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_noLPS1_S13
#
# total peaks = 4984
# peak size = 117
# peaks found using tags on both strands
# minimum distance between peaks = 234
# fragment length = 300
# genome size = 2000000000
# Total tags = 6808304.0
# Total tags in peaks = 73174.5
# Approximate IP efficiency = 1.07%
# tags per bp = 0.003290
# expected tags per peak = 0.385
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 1.774829e-07
# FDR tag threshold = 7.0
# number of putative peaks = 39212
#
# input tag directory = Anat_WT_noLPS1_S13
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 33821
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 403
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 4
#
# cmd = findPeaks Anat_WT_noLPS1_S13 -o Anat_WT_noLPS1_S13.peaks.txt -style factor -fragLength 300 -i Anat_WT_noLPS1_S13
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr13-1	chr13	9010982	9011098	+	398.0	0.895	127.000000	271.0	2.0	135.50	0.00e+00	100.40	0.00e+00	0.84
chrX-3	chrX	139917545	139917661	+	251.2	0.991	79.000000	171.0	0.5	342.00	0.00e+00	80.69	5.79e-255	1.14
chrX-1	chrX	139917545	139917661	+	249.7	0.991	96.500000	170.0	0.5	340.00	0.00e+00	79.56	1.90e-252	0.93
chr9-6	chr9	3006965	3007081	+	149.1	0.667	95.000000	101.5	15.0	6.77	2.32e-48	9.29	1.65e-60	0.73
chr16-15	chr16	55934796	55934912	+	124.8	0.572	76.000000	88.5	19.0	4.66	1.30e-30	37.02	5.64e-97	0.82
chr2-33	chr2	84555603	84555719	+	122.6	0.539	71.000000	85.0	15.0	5.67	1.22e-35	22.79	4.37e-80	0.86
chr12-34	chr12	8928593	8928709	+	122.6	0.557	69.000000	83.5	20.5	4.07	3.14e-25	21.54	3.86e-78	0.86
chr10-21	chr10	57960647	57960763	+	118.2	0.683	70.000000	80.5	18.5	4.35	3.95e-26	59.02	1.36e-109	0.84
chr5-13	chr5	150439066	150439182	+	116.8	0.573	78.000000	80.0	16.5	4.85	3.00e-29	30.25	1.19e-85	0.76
chr9-72	chr9	3012533	3012649	+	113.8	0.929	57.000000	77.5	3.0	25.83	1.95e-78	11.82	8.36e-54	1.03
chr9-31	chr9	3024405	3024521	+	113.8	0.823	70.500000	78.0	14.0	5.57	2.23e-32	5.46	3.05e-31	0.81
chr12-38	chr12	8647794	8647910	+	111.6	0.661	67.500000	80.0	19.0	4.21	2.04e-25	22.85	9.36e-74	0.90
chr16-20	chr16	57121645	57121761	+	111.6	0.571	72.000000	76.5	18.5	4.14	1.30e-23	33.30	1.97e-84	0.79
chr1-65	chr1	38054048	38054164	+	110.9	0.697	61.000000	75.5	18.0	4.19	1.12e-23	25.19	7.37e-76	0.95
chr2-65	chr2	5300322	5300438	+	110.2	0.987	60.000000	75.0	4.0	18.75	1.11e-66	50.89	4.06e-98	0.94
chr5-25	chr5	86494515	86494631	+	110.2	0.593	68.500000	75.0	16.5	4.55	7.19e-26	18.91	6.05e-67	0.82
chr7-72	chr7	17509687	17509803	+	110.2	0.569	62.000000	75.0	17.0	4.41	4.13e-25	20.60	1.11e-68	0.90
chr12-40	chr12	32184606	32184722	+	108.7	0.554	67.000000	74.0	17.0	4.35	1.83e-24	25.94	8.94e-76	0.83
chr3-43	chr3	53667785	53667901	+	104.3	0.617	67.000000	71.5	17.5	4.09	7.02e-22	41.65	6.14e-87	0.85
chr7-59	chr7	99709711	99709827	+	103.6	0.517	66.000000	70.5	13.5	5.22	1.88e-27	22.35	3.17e-67	0.81
chr18-132	chr18	13107739	13107855	+	103.6	0.904	39.500000	70.5	6.0	11.75	6.68e-49	62.36	1.47e-97	1.37
chr11-40	chr11	31770625	31770741	+	99.1	0.624	60.500000	67.5	10.5	6.43	2.35e-31	24.45	3.99e-67	0.87
chr14-40	chr14	123382580	123382696	+	98.4	0.637	59.000000	67.5	13.5	5.00	2.53e-25	19.07	3.72e-59	0.88
chr15-39	chr15	102455710	102455826	+	96.9	0.542	59.500000	66.0	11.5	5.74	2.28e-28	26.61	1.73e-68	0.85
chr6-52	chr6	11857619	11857735	+	95.5	0.610	60.000000	65.5	16.0	4.09	3.33e-20	35.04	1.18e-73	0.85
chr6-105	chr6	85324769	85324885	+	94.0	0.646	52.500000	64.0	11.5	5.57	7.43e-27	28.83	1.29e-68	0.95
chr7-120	chr7	147222382	147222498	+	94.0	0.613	54.000000	64.5	13.0	4.96	4.36e-24	43.43	2.96e-78	0.91
chr13-61	chr13	35997989	35998105	+	94.0	0.588	56.000000	64.5	16.0	4.03	1.36e-19	41.25	4.31e-77	0.89
chr17-49	chr17	13185257	13185373	+	94.0	0.576	60.000000	65.0	11.0	5.91	1.19e-28	22.78	3.67e-61	0.83
chr18-35	chr18	60685911	60686027	+	94.0	0.565	58.500000	64.0	15.0	4.27	5.83e-21	25.01	1.30e-63	0.84
chr12-63	chr12	88607335	88607451	+	93.3	0.640	59.500000	63.5	15.0	4.23	2.50e-20	30.51	1.18e-65	0.85
chr7-145	chr7	71537500	71537616	+	91.1	0.641	51.500000	62.0	14.0	4.43	3.90e-21	18.20	5.75e-53	0.94
chr1-90	chr1	87600270	87600386	+	89.6	0.711	56.000000	61.0	11.5	5.30	1.23e-24	31.51	9.19e-68	0.86
chr3-87	chr3	8923635	8923751	+	89.6	0.569	56.000000	61.0	13.5	4.52	3.08e-21	28.73	4.69e-62	0.85
chr5-88	chr5	149740273	149740389	+	89.6	0.674	55.000000	61.5	12.5	4.92	7.49e-23	41.89	4.24e-75	0.88
chr7-105	chr7	48889002	48889118	+	89.6	0.567	56.500000	61.0	15.0	4.07	4.38e-19	15.80	2.72e-49	0.86
chr15-30	chr15	94373860	94373976	+	88.9	0.553	63.500000	60.5	12.5	4.84	3.67e-22	21.16	1.71e-56	0.81
chr5-102	chr5	73259849	73259965	+	87.4	0.627	53.000000	60.5	14.5	4.17	3.82e-19	41.53	1.77e-72	0.91
chr7-116	chr7	13420168	13420284	+	86.7	0.594	54.500000	59.0	11.5	5.13	3.44e-23	40.80	1.18e-69	0.91
chr7-162	chr7	147323506	147323622	+	86.7	0.655	50.500000	59.0	12.0	4.92	2.60e-22	33.67	3.02e-67	0.93
chr9-76	chr9	21760279	21760395	+	86.7	0.552	56.500000	59.0	13.5	4.37	6.23e-20	17.37	6.02e-50	0.83
chr12-79	chr12	17697269	17697385	+	86.7	0.579	53.500000	59.0	14.0	4.21	3.27e-19	25.49	2.36e-60	0.88
chr9-94	chr9	3029567	3029683	+	85.9	0.676	53.000000	58.5	13.5	4.33	2.74e-19	4.41	1.24e-19	0.87
chr6-101	chr6	39542532	39542648	+	85.2	0.739	53.000000	58.0	12.0	4.83	1.28e-21	59.96	8.66e-79	0.90
chr17-57	chr17	13744948	13745064	+	85.2	0.651	58.000000	58.0	3.0	19.33	1.05e-52	16.04	2.93e-48	0.80
chr4-90	chr4	115747845	115747961	+	84.5	0.564	54.000000	58.5	13.5	4.33	2.74e-19	23.32	3.00e-56	0.89
chr6-126	chr6	97756879	97756995	+	84.5	0.794	48.000000	57.5	10.5	5.48	1.34e-23	35.85	2.55e-66	0.95
chr9-81	chr9	121766907	121767023	+	84.5	0.547	56.000000	57.5	13.0	4.42	2.24e-19	23.46	3.43e-56	0.82
chr5-91	chr5	149995985	149996101	+	83.7	0.591	54.500000	58.0	12.5	4.64	8.39e-21	23.66	1.35e-56	0.90
