# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_2w_LPS_noRC_1_S5
#
# total peaks = 7295
# peak size = 119
# peaks found using tags on both strands
# minimum distance between peaks = 238
# fragment length = 300
# genome size = 2000000000
# Total tags = 17871104.0
# Total tags in peaks = 193815.5
# Approximate IP efficiency = 1.08%
# tags per bp = 0.007164
# expected tags per peak = 0.852
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 3.051904e-07
# FDR tag threshold = 9.0
# number of putative peaks = 82561
#
# input tag directory = Anat_WT_2w_LPS_noRC_1_S5
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 74008
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 1247
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 11
#
# cmd = findPeaks Anat_WT_2w_LPS_noRC_1_S5 -o Anat_WT_2w_LPS_noRC_1_S5.peaks.txt -style factor -fragLength 300 -i Anat_WT_2w_LPS_noRC_1_S5
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr13-1	chr13	9010981	9011099	+	316.4	0.901	150.500000	566.5	2.0	283.25	0.00e+00	120.09	0.00e+00	0.79
chr2-40	chr2	84555617	84555735	+	180.7	0.535	117.000000	324.0	79.5	4.08	9.01e-94	21.85	5.10e-300	0.97
chr10-22	chr10	118677338	118677456	+	161.7	0.537	122.500000	291.0	69.0	4.22	1.03e-87	19.63	9.11e-256	0.91
chr9-49	chr9	21961222	21961340	+	160.6	0.687	112.500000	287.0	69.0	4.16	3.19e-85	28.25	3.95e-292	0.98
chr7-69	chr7	147222389	147222507	+	153.0	0.614	113.000000	274.0	65.5	4.18	5.71e-82	43.63	0.00e+00	0.96
chr17-31	chr17	57136709	57136827	+	152.5	0.643	120.000000	274.0	62.0	4.42	5.43e-87	35.77	7.32e-310	0.90
chr13-212	chr13	9010981	9011099	+	152.2	0.893	78.500000	275.5	30.5	9.03	9.61e-159	32.97	1.02e-300	1.42
chr5-30	chr5	114580879	114580997	+	143.2	0.605	117.500000	256.0	33.0	7.76	3.42e-133	29.47	9.07e-269	0.91
chr5-59	chr5	23900204	23900322	+	142.1	0.633	108.500000	259.0	56.5	4.58	1.52e-85	33.51	2.88e-278	0.99
chr4-86	chr4	107040488	107040606	+	138.5	0.673	105.000000	247.5	55.5	4.46	3.36e-79	49.58	9.83e-316	1.00
chr9-64	chr9	31088151	31088269	+	137.4	0.477	109.000000	247.0	54.0	4.57	1.72e-81	14.13	5.20e-185	0.96
chr11-79	chr11	31770710	31770828	+	134.0	0.671	105.500000	239.5	44.0	5.44	3.43e-93	22.59	1.02e-225	1.00
chr10-83	chr10	84039144	84039262	+	133.2	0.620	102.500000	240.0	53.0	4.53	2.03e-78	25.77	8.99e-239	1.02
chr9-104	chr9	123760977	123761095	+	127.6	0.602	101.000000	230.0	53.0	4.34	6.15e-72	25.75	1.30e-220	1.04
chr10-58	chr10	40068839	40068957	+	120.9	0.531	109.500000	219.0	53.0	4.13	5.04e-65	14.20	5.19e-163	0.94
chr3-181	chr3	130412341	130412459	+	120.3	0.643	91.000000	215.0	39.5	5.44	3.43e-84	47.70	1.69e-270	1.13
chr7-144	chr7	109213709	109213827	+	120.3	0.653	100.500000	215.0	49.5	4.34	1.95e-67	57.05	1.74e-285	1.03
chr11-114	chr11	96691366	96691484	+	120.0	0.688	100.000000	214.5	44.0	4.88	2.27e-75	17.11	7.31e-178	1.00
chrX-48	chrX	139917547	139917665	+	118.6	0.979	79.500000	212.0	0.5	424.00	0.00e+00	79.65	2.01e-314	1.25
chr9-161	chr9	57408879	57408997	+	118.3	0.622	89.500000	213.5	45.5	4.69	3.13e-72	20.46	4.02e-188	1.12
chr2-223	chr2	77784209	77784327	+	118.1	0.625	88.000000	211.5	50.5	4.19	1.70e-63	50.86	1.75e-272	1.14
chr16-47	chr16	18289303	18289421	+	117.5	0.609	108.500000	215.0	46.0	4.67	8.97e-73	21.88	1.23e-196	0.94
chr17-163	chr17	17511244	17511362	+	116.9	0.584	89.500000	210.5	49.5	4.25	2.89e-64	26.74	6.04e-212	1.12
chrX-77	chrX	139917547	139917665	+	116.9	0.979	74.500000	209.0	0.5	418.00	0.00e+00	77.47	1.62e-307	1.32
chr18-44	chr18	12279937	12280055	+	115.8	0.712	105.000000	209.5	51.5	4.07	6.62e-61	61.82	1.17e-281	0.95
chr15-79	chr15	68090225	68090343	+	115.0	0.540	100.000000	206.0	49.0	4.20	1.86e-62	12.91	3.81e-147	1.03
chr7-173	chr7	135605233	135605351	+	114.7	0.661	97.000000	205.0	38.0	5.39	1.02e-79	13.45	2.10e-147	1.03
chr11-93	chr11	85166359	85166477	+	114.2	0.543	103.500000	204.5	40.0	5.11	2.63e-75	23.39	1.33e-194	0.95
chr10-135	chr10	40603117	40603235	+	110.8	0.710	95.000000	199.0	42.0	4.74	1.96e-68	35.32	9.69e-223	1.05
chr3-145	chr3	88214018	88214136	+	108.8	0.606	94.500000	200.0	40.0	5.00	1.74e-72	33.81	4.04e-217	1.03
chr5-227	chr5	93635634	93635752	+	107.2	0.608	84.500000	191.5	32.0	5.98	2.50e-81	26.97	1.89e-194	1.15
chr2-149	chr2	38782125	38782243	+	106.9	0.596	94.000000	192.5	35.0	5.50	6.27e-76	29.26	7.89e-199	1.02
chr13-189	chr13	104968775	104968893	+	106.6	0.647	81.000000	191.5	29.0	6.60	3.37e-88	26.74	5.60e-194	1.19
chr16-120	chr16	37539880	37539998	+	106.0	0.658	87.000000	189.5	46.0	4.12	4.97e-56	24.52	3.91e-186	1.10
chr19-47	chr19	61341443	61341561	+	104.9	0.694	98.500000	191.5	45.0	4.26	1.17e-58	34.13	2.45e-204	0.96
chr1-162	chr1	194999547	194999665	+	103.8	0.596	95.500000	186.0	36.0	5.17	1.11e-69	17.86	1.30e-154	0.99
