# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_2w_LPS_noRC_4_S8
#
# total peaks = 6342
# peak size = 123
# peaks found using tags on both strands
# minimum distance between peaks = 246
# fragment length = 300
# genome size = 2000000000
# Total tags = 13352419.0
# Total tags in peaks = 138346.5
# Approximate IP efficiency = 1.04%
# tags per bp = 0.005833
# expected tags per peak = 0.718
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 9.230618e-07
# FDR tag threshold = 8.0
# number of putative peaks = 63850
#
# input tag directory = Anat_WT_2w_LPS_noRC_4_S8
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 56623
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 877
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 8
#
# cmd = findPeaks Anat_WT_2w_LPS_noRC_4_S8 -o Anat_WT_2w_LPS_noRC_4_S8.peaks.txt -style factor -fragLength 300 -i Anat_WT_2w_LPS_noRC_4_S8
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr13-9	chr13	9010980	9011102	+	272.6	0.906	116.000000	364.0	2.0	182.00	0.00e+00	106.29	0.00e+00	1.01
chr12-5	chr12	36883509	36883631	+	208.2	0.576	131.500000	282.5	57.5	4.91	1.70e-99	30.91	1.58e-296	0.87
chr16-5	chr16	55934810	55934932	+	204.1	0.598	122.500000	273.5	60.0	4.56	2.28e-89	40.49	4.94e-324	0.91
chr13-11	chr13	8884916	8885038	+	203.3	0.591	112.000000	271.5	57.0	4.76	8.56e-93	41.37	0.00e+00	0.98
chr12-17	chr12	8647791	8647913	+	192.5	0.684	115.500000	257.5	57.5	4.48	1.07e-82	32.97	3.10e-284	0.95
chrX-16	chrX	139917542	139917664	+	186.5	0.984	84.500000	249.0	1.5	166.00	0.00e+00	74.33	0.00e+00	1.27
chr7-35	chr7	13563439	13563561	+	173.0	0.658	106.500000	232.0	53.5	4.34	1.73e-72	18.79	1.35e-201	0.99
chr2-26	chr2	84555586	84555708	+	168.9	0.530	104.500000	225.5	47.0	4.80	6.47e-78	21.33	3.56e-208	1.00
chr7-28	chr7	144602531	144602653	+	165.5	0.546	108.500000	222.0	46.5	4.77	1.08e-76	25.04	2.98e-218	0.96
chr12-31	chr12	8928581	8928703	+	164.4	0.573	103.500000	221.0	51.0	4.33	4.31e-69	22.21	3.80e-206	1.00
chr10-19	chr10	57960648	57960770	+	161.4	0.674	107.000000	216.0	51.5	4.19	3.17e-65	58.02	8.50e-287	0.96
chr8-49	chr8	119502738	119502860	+	159.9	0.614	98.500000	217.5	50.5	4.31	2.88e-67	22.87	3.38e-202	1.04
chr3-22	chr3	30501286	30501408	+	152.0	0.555	108.500000	203.5	46.0	4.42	7.25e-65	19.25	2.62e-173	0.92
chr13-45	chr13	35997962	35998084	+	147.9	0.630	94.500000	199.0	42.5	4.68	1.26e-67	45.67	4.42e-244	1.05
chr18-17	chr18	65959917	65960039	+	144.9	0.568	103.500000	194.5	48.5	4.01	9.35e-56	19.27	1.55e-170	0.96
chr2-42	chr2	144381796	144381918	+	139.7	0.632	98.500000	188.0	46.5	4.04	9.51e-55	41.09	2.25e-223	0.99
chr9-51	chr9	21760304	21760426	+	135.6	0.550	93.500000	181.0	42.5	4.26	6.85e-56	22.96	2.16e-173	1.03
chr3-47	chr3	8923636	8923758	+	134.1	0.580	97.500000	179.5	35.5	5.06	1.32e-65	31.62	2.23e-194	0.98
chr7-75	chr7	71537309	71537431	+	128.1	0.548	92.500000	171.5	41.5	4.13	4.89e-51	20.24	7.01e-154	1.01
chr7-107	chr7	48888822	48888944	+	127.3	0.675	83.500000	170.0	37.5	4.53	3.51e-56	15.47	1.32e-133	1.13
chr9-68	chr9	21961217	21961339	+	127.3	0.705	88.500000	173.5	41.0	4.23	5.68e-53	27.61	8.18e-175	1.07
chr4-93	chr4	108000753	108000875	+	121.0	0.601	83.000000	161.5	33.0	4.89	2.33e-57	33.77	2.97e-180	1.08
chr7-63	chr7	99709694	99709816	+	119.5	0.499	97.000000	160.0	35.0	4.57	1.92e-53	17.91	4.71e-136	0.93
chr9-61	chr9	31088266	31088388	+	117.2	0.506	89.500000	157.0	29.5	5.32	9.35e-61	13.36	6.53e-115	1.01
chr18-36	chr18	77286014	77286136	+	116.5	0.732	92.000000	158.0	35.0	4.51	4.00e-52	45.16	1.16e-192	0.98
chr12-92	chr12	60167751	60167873	+	115.3	0.694	82.500000	154.0	34.5	4.46	2.89e-50	23.66	1.26e-147	1.07
chr17-48	chr17	13185312	13185434	+	115.0	0.632	92.000000	153.5	31.5	4.87	2.28e-54	22.27	8.82e-144	0.97
chr4-88	chr4	117852470	117852592	+	113.1	0.549	84.000000	151.0	25.0	6.04	2.36e-65	19.48	1.30e-133	1.05
chr17-55	chr17	3557622	3557744	+	112.3	0.513	89.500000	150.5	34.0	4.43	2.04e-48	18.14	1.97e-129	0.98
chr17-50	chr17	57136670	57136792	+	112.0	0.684	91.500000	157.0	34.0	4.62	5.15e-53	30.23	6.16e-159	0.96
chr11-61	chr11	31770625	31770747	+	111.2	0.630	82.000000	148.5	28.5	5.21	4.21e-56	21.49	7.38e-138	1.06
chr17-138	chr17	17511188	17511310	+	110.1	0.612	70.000000	147.5	31.0	4.76	4.28e-51	25.63	6.17e-148	1.25
chr16-69	chr16	90144102	90144224	+	109.3	0.704	81.000000	146.0	34.0	4.29	7.48e-46	21.70	6.55e-136	1.09
chr4-103	chr4	155043374	155043496	+	109.0	0.713	81.500000	145.5	33.0	4.41	1.14e-46	41.30	7.29e-174	1.06
chr1-144	chr1	87600238	87600360	+	108.6	0.686	78.500000	145.0	31.0	4.68	9.60e-50	35.12	7.30e-163	1.11
