# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_24h_LPS4
#
# total peaks = 30263
# peak size = 93
# peaks found using tags on both strands
# minimum distance between peaks = 186
# fragment length = 300
# genome size = 2000000000
# Total tags = 12074794.5
# Total tags in peaks = 665922.0
# Approximate IP efficiency = 5.51%
# tags per bp = 0.005500
# expected tags per peak = 0.512
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 1.164261e-06
# FDR tag threshold = 7.0
# number of putative peaks = 119409
#
# input tag directory = Anat_WT_24h_LPS4
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 84059
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 5074
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 13
#
# cmd = findPeaks Anat_WT_24h_LPS4 -o Anat_WT_24h_LPS4.peaks.txt -style factor -fragLength 300 -i Anat_WT_24h_LPS4
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr13-1	chr13	9010996	9011088	+	323.4	0.886	158.500000	391.5	0.5	783.00	0.00e+00	96.52	0.00e+00	0.69
chr6-2	chr6	103599149	103599241	+	238.5	0.946	155.000000	288.0	0.5	576.00	0.00e+00	46.51	0.00e+00	0.60
chr19-11	chr19	61275633	61275725	+	163.6	0.785	107.000000	198.5	5.0	39.70	8.68e-235	41.02	2.31e-235	0.78
chrX-2	chrX	139917558	139917650	+	144.9	0.979	106.500000	175.0	0.5	350.00	0.00e+00	103.56	7.83e-278	0.75
chrX-6	chrX	139917558	139917650	+	143.7	0.979	83.500000	173.5	0.5	347.00	0.00e+00	102.40	2.09e-275	0.95
chr18-266	chr18	13107773	13107865	+	129.2	0.934	57.500000	156.0	20.0	7.80	2.89e-82	78.57	5.43e-231	1.32
chr10-21	chr10	57960665	57960757	+	128.8	0.634	105.000000	156.0	36.0	4.33	2.44e-49	47.28	1.22e-194	0.73
chr8-542	chr8	4656731	4656823	+	119.7	0.867	54.500000	144.5	1.0	144.50	6.67e-251	111.14	1.29e-234	1.38
chr7-71	chr7	138703780	138703872	+	115.5	0.643	98.500000	140.0	28.0	5.00	2.56e-51	39.06	2.14e-164	0.75
chr16-16	chr16	55934826	55934918	+	114.3	0.565	103.500000	142.0	35.0	4.06	5.60e-42	32.52	8.92e-153	0.72
chr9-30	chr9	3024286	3024378	+	113.5	0.642	107.000000	138.0	17.0	8.12	4.32e-75	6.07	9.59e-60	0.68
chr1-96	chr1	167564715	167564807	+	112.6	0.754	86.500000	136.0	27.5	4.95	2.19e-49	36.45	5.41e-156	0.84
chr9-156	chr9	3006800	3006892	+	111.4	0.905	76.500000	136.0	17.0	8.00	2.83e-73	7.85	4.75e-71	0.96
chr2-74	chr2	144381851	144381943	+	106.4	0.639	93.000000	128.5	28.5	4.51	2.32e-42	32.07	8.54e-140	0.77
chr9-14	chr9	3006802	3006894	+	106.0	0.846	116.000000	130.0	17.0	7.65	6.68e-68	7.39	1.50e-64	0.64
chr18-19	chr18	60685922	60686014	+	106.0	0.555	95.000000	128.5	31.0	4.15	9.21e-39	19.00	7.76e-109	0.75
chr12-50	chr12	36883490	36883582	+	104.8	0.549	95.000000	127.0	29.0	4.38	5.79e-41	23.80	3.51e-123	0.76
chr1-54	chr1	193221273	193221365	+	104.3	0.505	97.000000	126.0	30.5	4.13	3.31e-38	14.15	2.52e-95	0.71
chr5-88	chr5	150439093	150439185	+	101.0	0.524	88.500000	122.0	29.0	4.21	8.71e-38	20.74	2.91e-111	0.77
chr9-143	chr9	3012483	3012575	+	99.4	0.894	78.500000	120.0	13.0	9.23	1.78e-71	11.23	1.04e-80	0.86
chr7-185	chr7	71537544	71537636	+	99.0	0.674	79.000000	120.0	28.0	4.29	6.13e-38	20.57	1.57e-104	0.86
chr16-68	chr16	14317453	14317545	+	98.6	0.716	81.500000	120.5	29.5	4.08	7.29e-36	32.22	1.56e-131	0.87
chr18-36	chr18	47118494	47118586	+	98.1	0.635	89.000000	118.5	27.5	4.31	2.19e-37	30.94	3.15e-128	0.76
chr8-75	chr8	116159037	116159129	+	97.7	0.487	93.000000	118.0	26.0	4.54	1.29e-39	11.94	1.03e-80	0.73
chr9-71	chr9	3023496	3023588	+	97.7	0.905	92.000000	118.0	13.0	9.08	1.51e-69	4.61	2.01e-39	0.74
chr9-55	chr9	3029682	3029774	+	97.7	0.774	96.500000	118.0	14.0	8.43	3.52e-66	5.72	1.46e-47	0.72
chr13-82	chr13	93124797	93124889	+	96.9	0.515	81.000000	118.5	24.0	4.94	7.39e-43	18.76	6.20e-102	0.85
chr13-65	chr13	112515726	112515818	+	96.9	0.637	85.000000	119.0	24.5	4.86	1.06e-42	27.71	6.38e-121	0.82
chr15-72	chr15	44450544	44450636	+	96.9	0.644	84.000000	117.0	22.5	5.20	8.45e-45	16.48	8.90e-96	0.80
chr8-142	chr8	4325185	4325277	+	96.5	0.663	79.500000	117.0	27.5	4.25	9.44e-37	19.45	8.75e-103	0.85
chr18-32	chr18	60686114	60686206	+	96.5	0.708	91.000000	116.5	28.0	4.16	1.99e-35	17.78	1.40e-99	0.76
chr3-72	chr3	95428966	95429058	+	96.1	0.517	88.000000	116.5	26.0	4.48	2.65e-38	17.25	3.93e-98	0.76
chr4-90	chr4	94269916	94270008	+	95.7	0.645	86.500000	115.5	25.0	4.62	3.51e-39	32.43	2.11e-126	0.78
chr6-245	chr6	47707949	47708041	+	95.2	0.758	67.000000	115.0	1.0	115.00	1.27e-189	79.29	3.01e-171	0.99
chr7-243	chr7	148379957	148380049	+	94.4	0.734	75.000000	114.0	25.5	4.47	9.42e-38	27.49	1.88e-116	0.89
chr10-152	chr10	80729420	80729512	+	94.4	0.664	77.000000	115.5	24.0	4.81	8.62e-41	31.02	2.84e-124	0.87
chr15-54	chr15	94373867	94373959	+	94.4	0.566	89.500000	114.5	28.5	4.02	1.56e-33	20.44	1.89e-104	0.74
chr8-410	chr8	4656731	4656823	+	94.0	0.866	60.500000	118.0	0.5	236.00	3.90e-231	71.54	4.14e-163	1.13
chr8-82	chr8	108351356	108351448	+	94.0	0.503	90.500000	113.5	21.5	5.28	9.34e-44	18.53	4.19e-98	0.73
chr13-39	chr13	65380008	65380100	+	94.0	0.635	91.000000	113.5	24.0	4.73	1.97e-39	35.82	7.58e-130	0.72
chr8-85	chr8	73895372	73895464	+	93.6	0.546	89.000000	113.0	23.5	4.81	2.99e-40	11.82	1.62e-77	0.74
chr1-65	chr1	34496415	34496507	+	91.5	0.524	92.500000	110.5	27.0	4.09	4.40e-33	14.66	2.15e-83	0.70
chr9-106	chr9	83728162	83728254	+	91.1	0.732	84.500000	110.0	21.0	5.24	1.64e-42	38.36	7.86e-130	0.77
chr18-162	chr18	13107773	13107865	+	91.1	0.935	66.500000	113.5	7.0	16.21	1.36e-92	45.77	4.47e-138	1.00
chr5-144	chr5	86494736	86494828	+	90.7	0.673	79.500000	109.5	22.0	4.98	5.09e-40	16.75	8.18e-91	0.85
chr7-142	chr7	144602505	144602597	+	90.7	0.523	84.500000	111.0	23.5	4.72	6.89e-39	15.99	3.53e-84	0.76
chr3-97	chr3	129428065	129428157	+	89.9	0.614	83.500000	108.5	21.0	5.17	4.47e-41	45.94	2.34e-129	0.80
chr14-32	chr14	102039848	102039940	+	89.9	0.642	94.000000	108.5	24.5	4.43	2.39e-35	38.46	2.02e-127	0.70
chr17-123	chr17	35516368	35516460	+	89.9	0.713	79.500000	108.5	15.0	7.23	2.79e-54	24.40	5.55e-107	0.85
chr6-94	chr6	146119401	146119493	+	89.4	0.662	81.000000	108.0	25.0	4.32	1.29e-34	22.72	1.25e-102	0.81
chr7-214	chr7	26022985	26023077	+	89.4	0.511	77.000000	108.0	25.0	4.32	1.29e-34	11.59	2.65e-73	0.84
chr7-122	chr7	50721012	50721104	+	89.4	0.580	86.500000	108.5	24.0	4.52	4.22e-36	18.77	2.61e-93	0.76
chr2-162	chr2	21127217	21127309	+	88.6	0.630	78.000000	107.5	19.0	5.66	3.72e-44	23.38	3.79e-103	0.83
chr3-161	chr3	94964251	94964343	+	88.6	0.729	76.000000	107.0	24.5	4.37	1.06e-34	35.51	7.46e-123	0.86
chr7-229	chr7	133942796	133942888	+	88.6	0.601	76.000000	107.0	21.5	4.98	1.74e-39	17.29	9.40e-90	0.86
chr7-161	chr7	147222392	147222484	+	88.2	0.540	82.000000	106.5	20.5	5.20	1.50e-40	27.08	1.96e-109	0.81
chr10-157	chr10	52101952	52102044	+	88.2	0.630	76.000000	106.5	15.5	6.87	2.83e-51	17.43	1.36e-87	0.85
chr15-48	chr15	82176500	82176592	+	88.2	0.546	90.500000	110.5	24.5	4.51	1.19e-36	19.04	3.80e-94	0.72
chr1-193	chr1	15795621	15795713	+	87.4	0.775	75.000000	105.5	20.5	5.15	7.77e-40	31.96	6.26e-116	0.85
chr1-162	chr1	75207328	75207420	+	87.4	0.791	78.500000	106.0	23.0	4.61	2.51e-36	38.11	9.92e-124	0.82
chr7-276	chr7	87439252	87439344	+	87.4	0.717	73.000000	105.5	8.5	12.41	7.94e-75	33.32	1.14e-116	0.88
chr8-217	chr8	111247231	111247323	+	87.0	0.801	72.000000	105.0	14.0	7.50	1.95e-54	25.95	9.38e-106	0.88
chr9-188	chr9	74823869	74823961	+	87.0	0.716	73.000000	105.0	25.5	4.12	4.98e-32	39.95	8.01e-126	0.90
